rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
299,ChiCTR2400080050,The Clinical Study on the Impact of Digital Mobile Medical Technology on Diabetes Prevention and Management,Interventional,NP,municipal government/fund,江宁区惠民发展计划（2023083S）,Fully-automated,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Diabetes,Parallel Assignment,评估采用数字移动医疗进行健康教育对糖尿病患者血糖控制及远期并发症的影响。  ,2024,121.7333333,2,298,南京市江宁医院 ,江苏省,江苏省中西医结合医院 ,江苏 ,江苏省第二中医院 ,江苏 ,江苏省省级机关医院 ,江苏 ,江苏省中大医院 ,江苏 ,南京市市级机关医院 ,江苏 ,江南大学附属医院 ,江苏 ,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,70,All,block randomization,"This study is a district randomized controlled trial. Statisticians with hidden research content and design were randomly assigned 1:1 using a random number generator, and seven institutions were included in the intervention group.",Open label,无
300,ChiCTR2400079694,Study on the Construction and Application of a Multifaceted Linkage Management Model for Tube Feeding Care Based on a Mobile Platform,Interventional,Early Phase 1,provincial government/fund,浙江省自然科学基金,Guided,Non-hospital,No,Management,Factors influencing health status or contact with health services,"Neurological diseases, malignant tumors, diseases of the liver, pancreas, or intestines, etc., requiring tube feeding due to swallowing disorders or indigestion.",Parallel Assignment,"本研究通过文献研究、软件功能荟萃和专家小组会议法确定平台功能模块和多元联动管理模式, 确保患者在不同管饲护理场所转移时, 实现信息共享、延续照护等联动服务。开发平台, 应用基于移动平台的管饲护理多元联动管理模式, 评估模式的安全性、有效性、经济性及可用性, 为国内医院-社区-养老机构-家庭管饲护理多元联动提供信息化工具和参考。  ",2023,17.2,2,196,杭州滨江绿康康复医院 ,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,80,All,NP,None,Open label,无
301,ChiCTR2400079588,Evaluation of the effect of non-invasive glucose monitoring based on wearable devices combined with mobile health intervention on blood glucose management in gestational diabetes,Interventional,Early Phase 1,hospital/university,医院配套,Fully-automated,Non-hospital,No,Management,"Pregnancy, childbirth or the puerperium",Gestational Diabetes Mellitus,Parallel Assignment,评价基于可穿戴设备的无创血糖监测结合移动健康干预方案对GDM患者血糖管理的干预效果。  ,2024,36.26666667,2,132,湖州市妇幼保健院 ,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,45,Female,randomized-NP,"In this study, the envelope method, the randomization envelope was designed and printed by a third party to hide the information of the randomization group. After the outpatient nurse explained the purpose of the study and solicited consent, the patients drew the envelope in order and submitted it to the nurse for registration.",NP,未说明
302,ChiCTR2400079440,The Study on Effects and Mechanism of Motivational Mobile Health Management for Young-to-middle Aged Patients with Metabolic Syndrome: a Mixed-method Study,Interventional,NP,national government/fund,国自然科学基金-青年项目,Adjunctive,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Metabolic syndrome,Parallel Assignment,1.明确动机性移动健康管理对中青年代谢综合征患者的生理和心理健康指标、生活质量、自我效能、社会支持、行为和依从性的干预效果； 2. 揭示动机式移动健康管理模式对中青年代谢综合征健康管理的干预机制。,2024,29.9,2,210,深圳市各区社康卫生服务中心 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,20,59,All,cluster randomization,"This study will employ cluster randomization. Six helath service centers with similar population, social-economic and health service conditions will be selected in Shenzhen. The PI will use the computer-generated random numbers to divide the selected centers into intervention gorups (3 centers) and control groups (3 centers). Each center will conveniently recruite at least 35 participants. All recruited participants in each center will accordingly enter into the intervention or control gorup.",single(investigator),所有数据将由对分组情况不知情的调查员（单盲）收集。
303,ChiCTR2300078835,Construction and Application of Mobile Health Management Scheme for Ischemic Stroke Patients from the Perspective of Disease Uncertainty Theory,Interventional,NP,hospital/university,中央高水平医院临床科研业务费专项人才培育专项,Guided,Non-hospital,No,Management,Diseases of the nervous system,Ischemic stroke,Parallel Assignment,(1)明确缺血性脑卒中患者疾病不确定感来源，了解患者移动健康应用程序的使用意愿及偏好； (2)构建移动健康管理方案并嵌入已有微信公众号中； (3)实施干预方案并评价该方案对患者疾病不确定感的干预效果。,2023,18.3,2,40,北京医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,75,All,randomized-NP,The researchers used the rand function in EXCEL to generater,single(outcomes assessor),单盲（对受试者隐藏分组），对评估者不隐藏分组
304,ChiCTR2300078227,Effects of a Mobile Medical Nutritional Therapy Program Via WeChat in Helping Women with Gestational Diabetes With Diabetes Control and Fetal Outcomes,Interventional,NP,self-fund,自筹,Guided,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Diabetes,Parallel Assignment,探讨远程医疗，即手机APP、小程序联合MNT对妊娠期糖尿病孕妇的治疗与管理效果。研究使用行为改变技术分类第1版开发的微信移动医疗营养治疗项目如何影响妊娠期糖尿病妇女的糖尿病控制和胎儿结局。,2023,6.766666667,2,88,山东第一医科大学附属中心医院 ,山东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,23,45,Female,simple randomization,Random number table,single(investigator),单盲，测量者不知晓分组
305,ChiCTR2300078200,The study of the effect of Pranayama based on mobile health on the PFS symptom cluster in individuals with lung cancelundergoing surgery,Interventional,NP,self-fund,自筹,Adjunctive,Hospital,No,Treatment,Neoplasms,Lung Cancer,Parallel Assignment,项目旨在观察基于移动医疗的调息法对肺癌手术患者PFS症状群的干预效果以及调息法对肺癌手术患者PFS症状群的干预效果，为基于移动医疗的调息法在肺癌手术患者中的应用和推广提供临床依据。  ,2023,22.3,3,102,吉林大学护理学院 ,吉林省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,,All,randomized-NP,Generated by a staff member unrelated to this trail.,single(outcomes assessor),由于干预性质的限制，难以对患者和干预者施盲。结局评估者和统计分析员对分配情况不知情。
306,ChiCTR2300077103,The Construction and Application Research of a Mobile Health Intervention Platform for Sedentary Behaviors in Older Adults Based on the Theory of Behavior Change Wheels,Interventional,Early Phase 1,self-fund,横向课题,Guided,Non-hospital,No,Management,Factors influencing health status or contact with health services,Sedentary behavior,Parallel Assignment,1.基于BCW理论中的COM-B模型和TDF，全面识别老年人静态行为的障碍因素及明确各因素对静态行为的影响效应及作用路径。 2.融合多学科专家意见，并结合最新指南和共识等证据完善老年人静态行为移动健康干预的内容要素，构建科学有效、个性化、本土化老年人静态行为M-Health干预方案。 3.研究者与多学科团队如人工智能领域专家合作，依据构建的老年人静态行为移动健康干预方案开发静态行为适老化移动健康干预平台。 4.采用实证研究验证老年人静态行为适老化移动健康干预平台的可行性和有效性。,2023,29.4,2,510,浙江大学医学院附属第四医院 ,浙江省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,60,100,All,simple randomization,Researchers and healthcare professionals use the random number table method to generate random sequences,Open label,无
307,ChiCTR2300076901,Effectiveness of personality-based mobile health intervention on diabetes control among T2DM patients with different personality traits,Interventional,NP,national government/fund,国家自然科学基金,Adjunctive,Non-hospital,yes,Management,"Endocrine, nutritional or metabolic diseases",Type 2 Diabetes,Parallel Assignment,借鉴混合方法研究思路开展整群随机社区干预试验，从策略（基于不同人格特质）、媒介（移动健康或人际网络）、内容（基于健康行动过程取向模型）三维度设计干预方案，对“分人格移动健康组”、“不分人格移动健康组”、“分人格社区人际组”3个干预组进行内容相近、方式不同的干预，对照组常规管理。通过800名患者的人格测评和6个时点追踪数据（糖化血红蛋白、行为阶段和认知心理变化等）以及典型患者深入访谈，比较各组间差异，评价在不同人格特质人群中的效果和接受度，找到适合特定人格的移动健康或传统人际传播的最佳方式，并探究行为变化的机制，最终总结出一套基于人格特质、不同媒介方式的，有针对性、可推广、可持续的社区糖尿病管理模式。,2023,19.23333333,4,800,东城医院 ,山东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,75,All,simple randomization,Researchers used a random number table method to randomly select 8 community health stations within the scope of Dongcheng Hospital and randomly assign them to 4 study groups. Participants in each study group will receive the same type of intervention.,Open label,无
308,ChiCTR2300076026,"Design, development, and application evaluation of mobile health education program for patients with chronic heart failure",Interventional,NP,hospital/university,北京医院,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Chonic Heart Failure,Parallel Assignment,1 了解慢性心衰患者在心衰健康知识及移动健康教育程序的需求。 2 开发一套慢性心衰患者健康教育的微信小程序。 3 评价该微信小程序在慢性心衰患者自我护理能力、生活质量、心衰知识水平方面的干预效果。,2023,18.16666667,2,128,卫生部北京医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,80,All,randomized-NP,"CHF patients admitted to Ward A of the Cardiology Department of Beijing Hospital were set as the control group, while CHF patients admitted to Ward B of the Cardiology Department of Beijing Hospital during the same period were set as the experimental group",NP,
309,ChiCTR2300076004,Construction and Feasibility Evaluation of a technology-based Parenting Intervention under the Perspective of Adolescent Depression and Anxiety Prevention,Interventional,Early Phase 1,provincial government/fund,湖南省教育厅课题,Fully-automated,Non-hospital,No,Prevention,"Mental, behavioural or neurodevelopmental disorders",depression and anxiety,Single Group Assignment,构建一个基于微信小程序的父母养育干预方案，通过干预父母的养育行为来减少青少年抑郁焦虑的发生。  ,2023,5.066666667,1,20,湖南省某中学 ,湖南省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,60,All,NP,None,NP,
310,ChiCTR2300074996,Development and evaluation of diabetes nursing teaching program based on virtual simulation and mobile device,Interventional,NP,hospital/university,中南大学湘雅二医院院级护理科研课题,Fully-automated,Non-hospital,No,Management,Factors influencing health status or contact with health services,None,Parallel Assignment,1.参考国内外研究先进的成果和经验，结合前期护生学习意向调查以及专家指导意见等开发基于虚拟仿真及移动设备的糖尿病护理教学程序； 2.对所开发的基于虚拟仿真及移动设备的糖尿病护理教学程序进行测试与评价。,2023,5.1,2,40,中南大学湘雅二医院 ,湖南省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,30,All,NP,None,NP,
311,ChiCTR2300073804,Culture-based mobile smoking cessation intervention trial in China and Vietnam,Interventional,Early Phase 1,international fund,美国国立卫生研究院福格蒂国际中心（R01TW010666）,Fully-automated,Non-hospital,yes,Management,"Mental, behavioural or neurodevelopmental disorders",Tobacco addiction,Parallel Assignment,开发基于阶段变化理论建立适合中国男性吸烟者的戒烟信息库，并通过微信平台实施干预，评价移动戒烟干预的有效性和可接受度，为将来利用移动技术开展大规模人群戒烟干预研究提供参考。  ,2019,37.46666667,3,600,复旦大学公共卫生学院 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,18,65,Male,stratified randomization,"During the recruitment, the researchers instructed the participants to take part in Wechat official accounts and fill in their basic personal information. Smokers who met the criteria were randomly divided into three groups by computer algorithm in the background of Wechat platform: strong intervention group (A), weak intervention group (B) and control group (C).",single(participant),本研究使用单盲，即仅告知参与者干预为健康知识的传递，参与者并不知道自身分组情况，以保证对照组能完成研究。
